"","temp","temp.sd","temp.se","bin"
"15400",-2.31996909788111,0.0235205147716093,0.0117602573858047,15400
"15600",-2.39445094176559,0.0227277360057167,0.0113638680028583,15600
"15800",-2.46426806921511,0.0222819206217419,0.0111409603108709,15800
"16000",-2.53800661796421,0.0257307311175551,0.0128653655587775,16000
"16200",-2.61818372980751,0.0258516307612155,0.0129258153806077,16200
"16400",-2.69826453863749,0.0259140120104032,0.0129570060052016,16400
"16600",-2.77823147538175,0.0251525324785898,0.0125762662392949,16600
"16800",-2.84490701496218,0.017886437559714,0.00894321877985702,16800
"17000",-2.90664164376066,0.0263891879021582,0.0131945939510791,17000
"17200",-2.98422010822522,0.0158386657747159,0.00791933288735797,17200
"17400",-3.00314432653835,0.00348534218280166,0.00174267109140083,17400
"17600",-3.0202577214027,0.0065384010632532,0.0032692005316266,17600
"17800",-3.04392213167787,0.0094831961892958,0.0047415980946479,17800
"18000",-3.07890527311891,0.0142871777235285,0.00714358886176426,18000
"18200",-3.11931558312603,0.00907458385011229,0.00453729192505615,18200
"18400",-3.14111444024285,0.00711163623598464,0.00355581811799232,18400
"18600",-3.1695951293646,0.0108004935440028,0.00540024677200142,18600
"18800",-3.2109497397961,0.0125119821043524,0.0062559910521762,18800
"19000",-3.2168866747223,0.0049853548741699,0.00249267743708495,19000
"19200",-3.22397043706491,0.00820018856704868,0.00410009428352434,19200
"19400",-3.2220456594871,0.0111939236066017,0.00559696180330083,19400
"19600",-3.19104517283268,0.0047454581282675,0.00237272906413375,19600
"19800",-3.20398771073402,0.0103182911771014,0.0051591455885507,19800
"20000",-3.22779386781051,0.00462420358260012,0.00231210179130006,20000
"20200",-3.24498975561198,0.00559325369476166,0.00279662684738083,20200
"20400",-3.26061453119737,0.00628604933496475,0.00314302466748237,20400
"20600",-3.28075574521494,0.00659576669937009,0.00329788334968505,20600
"20800",-3.30032948922492,0.0055049624242122,0.0027524812121061,20800
"21000",-3.31236136813628,0.00414213087263925,0.00207106543631962,21000
"21200",-3.33102045888324,0.00784242714060981,0.00392121357030491,21200
"21400",-3.35884540934476,0.0081503533629186,0.0040751766814593,21400
"21600",-3.36926204793823,0.000267099082770914,0.000133549541385457,21600
"21800",-3.36054988678228,0.00768124692744503,0.00384062346372252,21800
"22000",-3.34087895613523,0.00455384642357848,0.00322005568659445,22000
